c_number,cpu,gpu,resolution,fps,cpu_score,gpu_score,power,price,ram_gb,is_good_for_gaming,is_good_for_productivity,is_good_for_design_render,is_good_for_workstation
c_1,i5-11400,RTX3050,1080P,75,16664,10750,280,649,16,1,0,0,0
c_2,i5-11400,RTX3050,1080P,75,16664,10750,280,699,32,1,0,0,0
c_3,i5-11400,RTX3060,1080P,95,16664,16780,350,849,16,1,0,0,0
c_4,i5-11400,RTX3060,1080P,95,16664,16780,350,899,32,1,0,0,0
c_5,i5-11400,RTX3060TI,1080P,115,16664,20313,400,1049,16,1,0,0,0
c_6,i5-11400,RTX3060TI,1080P,115,16664,20313,400,1099,32,1,0,0,0
c_7,i5-11400,RTX3070,1440P,85,16664,22171,450,1249,16,0,0,0,0
c_8,i5-11400,RTX3070,1440P,85,16664,22171,450,1299,32,0,0,0,0
c_9,i5-11400F,RTX3050,1080P,75,16896,10750,275,599,16,1,0,0,0
c_10,i5-11400F,RTX3050,1080P,75,16896,10750,275,649,32,1,0,0,0
c_11,i5-11400F,RTX3060,1080P,95,16896,16780,345,799,16,1,0,0,0
c_12,i5-11400F,RTX3060,1080P,95,16896,16780,345,849,32,1,0,0,0
c_13,i5-11400F,RTX3060TI,1080P,115,16896,20313,395,999,16,1,0,0,0
c_14,i5-11400F,RTX3060TI,1080P,115,16896,20313,395,1049,32,1,0,0,0
c_15,i5-11400F,RTX3070,1440P,85,16896,22171,445,1199,16,0,0,0,0
c_16,i5-11400F,RTX3070,1440P,85,16896,22171,445,1249,32,0,0,0,0
c_17,i5-11600,RTX3050,1080P,78,17920,10750,285,699,16,1,0,0,0
c_18,i5-11600,RTX3050,1080P,78,17920,10750,285,749,32,1,0,0,0
c_19,i5-11600,RTX3060,1080P,98,17920,16780,355,899,16,1,0,0,0
c_20,i5-11600,RTX3060,1080P,98,17920,16780,355,949,32,1,0,0,0
c_21,i5-11600,RTX3060TI,1080P,118,17920,20313,405,1099,16,1,0,0,0
c_22,i5-11600,RTX3060TI,1080P,118,17920,20313,405,1149,32,1,0,0,0
c_23,i5-11600,RTX3070,1440P,88,17920,22171,455,1299,16,0,0,0,0
c_24,i5-11600,RTX3070,1440P,88,17920,22171,455,1349,32,0,0,0,0
c_25,i5-11600K,RTX3050,1080P,82,19521,10750,310,799,16,1,0,0,0
c_26,i5-11600K,RTX3050,1080P,82,19521,10750,310,849,32,1,0,0,0
c_27,i5-11600K,RTX3060,1080P,102,19521,16780,380,999,16,1,0,0,0
c_28,i5-11600K,RTX3060,1080P,102,19521,16780,380,1049,32,1,0,0,0
c_29,i5-11600K,RTX3060TI,1080P,122,19521,20313,430,1199,16,1,0,0,0
c_30,i5-11600K,RTX3060TI,1080P,122,19521,20313,430,1249,32,1,0,0,0
c_31,i5-11600K,RTX3070,1440P,92,19521,22171,480,1399,16,0,0,0,0
c_32,i5-11600K,RTX3070,1440P,92,19521,22171,480,1449,32,0,0,0,0
c_33,i5-11600KF,RTX3050,1080P,82,19481,10750,305,749,16,1,0,0,0
c_34,i5-11600KF,RTX3050,1080P,82,19481,10750,305,799,32,1,0,0,0
c_35,i5-11600KF,RTX3060,1080P,102,19481,16780,375,949,16,1,0,0,0
c_36,i5-11600KF,RTX3060,1080P,102,19481,16780,375,999,32,1,0,0,0
c_37,i5-11600KF,RTX3060TI,1080P,122,19481,20313,425,1149,16,1,0,0,0
c_38,i5-11600KF,RTX3060TI,1080P,122,19481,20313,425,1199,32,1,0,0,0
c_39,i5-11600KF,RTX3070,1440P,92,19481,22171,475,1349,16,0,0,0,0
c_40,i5-11600KF,RTX3070,1440P,92,19481,22171,475,1399,32,0,0,0,0
c_41,i5-11400,RTX4060,1080P,100,16664,19550,320,899,16,1,0,0,0
c_42,i5-11400,RTX4060,1080P,100,16664,19550,320,949,32,1,0,0,0
c_43,i5-11400,RTX4060TI,1080P,120,16664,22712,370,1099,16,1,0,0,0
c_44,i5-11400,RTX4060TI,1080P,120,16664,22712,370,1149,32,1,0,0,0
c_45,i5-11400,RTX4070,1440P,95,16664,26921,420,1399,16,0,0,0,0
c_46,i5-11400,RTX4070,1440P,95,16664,26921,420,1449,32,0,0,0,0
c_47,i5-11400F,RTX4060,1080P,100,16896,19550,315,849,16,1,0,0,0
c_48,i5-11400F,RTX4060,1080P,100,16896,19550,315,899,32,1,0,0,0
c_49,i5-11400F,RTX4060TI,1080P,120,16896,22712,365,1049,16,1,0,0,0
c_50,i5-11400F,RTX4060TI,1080P,120,16896,22712,365,1099,32,1,0,0,0
c_51,i5-11400F,RTX4070,1440P,95,16896,26921,415,1349,16,0,0,0,0
c_52,i5-11400F,RTX4070,1440P,95,16896,26921,415,1399,32,0,0,0,0
