name,score
i5-11400,16664
i5-11400F,16896
i5-11600,17920
i5-11600K,19521
i5-11600KF,19481
i5-12400,18792
i5-12400F,19521
i5-12600,21386
i5-12600K,27591
i5-12600KF,27592
i5-13400,23752
i5-13400F,25025
i5-13600,31558
i5-13600K,37661
i5-13600KF,37447
i5-14400,25326
i5-14400F,25687
i5-14600,32319
i5-14600K,38590
i5-14600KF,38678
i7-11700,20637
i7-11700F,20761
i7-11700K,24372
i7-11700KF,23810
i7-12700,30073
i7-12700F,30338
i7-12700K,34356
i7-12700KF,34073
i7-13700,36246
i7-13700F,38274
i7-13700K,45806
i7-13700KF,45742
i7-14700,40977
i7-14700F,41495
i7-14700K,52263
i7-14700KF,52262
i9-11900,22449
i9-11900F,22039
i9-11900K,24996
i9-11900KF,24579
i9-12900,33717
i9-12900F,35918
i9-12900K,41177
i9-12900KF,40866
i9-13900,45315
i9-13900F,49125
i9-13900K,58408
i9-13900KF,57758
i9-14900,45221
i9-14900F,46833
i9-14900K,58566
i9-14900KF,58329
Ryzen 5 5500,19315
Ryzen 5 5500X3D,20154
Ryzen 5 5600,21549
Ryzen 5 5600G,19698
Ryzen 5 5600X,21847
Ryzen 5 7400,22010
Ryzen 5 7400F,25524
Ryzen 5 7500F,26734
Ryzen 5 7600,27015
Ryzen 5 7600X,28323
Ryzen 5 7600X3D,25709
Ryzen 5 8400F,24557
Ryzen 5 8500G,21492
Ryzen 5 8600G,25256
Ryzen 5 9600,29034
Ryzen 5 9600X,29997
Ryzen 7 5700,24331
Ryzen 7 5700X,26611
Ryzen 7 5700G,24367
Ryzen 7 5700X3D,26302
Ryzen 7 5800,25743
Ryzen 7 5800XT,28002
Ryzen 7 5800X,27715
Ryzen 7 5800X3D,28298
Ryzen 7 7700,34386
Ryzen 7 7700X,35612
Ryzen 7 7800X3D,34292
Ryzen 7 8700F,31275
Ryzen 7 8700G,31649
Ryzen 7 9700F,35000
Ryzen 7 9700X,37150
Ryzen 7 9700X3D,39978
Ryzen 9 5900,33915
Ryzen 9 5900X,38959
Ryzen 9 5900XT,44171
Ryzen 9 5950X,45363
Ryzen 9 7900,48196
Ryzen 9 7900X,51337
Ryzen 9 7900X3D,50234
Ryzen 9 7950X,62355
Ryzen 9 7950X3D,62329
Ryzen 9 9900X,54587
Ryzen 9 9900X3D,56247
Ryzen 9 9950X,65857
Ryzen 9 9950X3D,70176
Ryzen 3 3100,7500
i5-10400,14500
Ryzen 5 4500,12000
RTX3050,10750
RTX3060,16780
RTX3060TI,20313
RTX3070,22171
RTX4060,19550
RTX4060TI,22712
RTX4070,26921
RTX5050,16997
RTX5060,20889
RTX5060TI,22830
RTX5070,28904
RTX3060Ti,20313
RTX4060Ti,22712
RTX5060Ti,22830
RTX3070TI,23298
RTX3080,25077
RTX3080TI,26860
RTX3090,26609
RTX4070TI,31597
RTX4080,34461
RTX4080 SUPER,34236
RTX4090,38124
RTX5070TI,32618
RTX5080,35954
RTX5090,38916
RX6500XT,9602
RX6600,15086
RX6600XT,16454
RX6700,18925
RX6700XT,19752
RX6800,22063
RX7600,16574
RX7600XT,17242
RX7700XT,22662
RX7800XT,24246
RX9060,17049
RX9060XT,20113
RX6750XT,20680
RX6800XT,24988
RX6900XT,26708
RX6950XT,28096
RX7900GRE,27167
RX7900XT,28981
RX7900XTX,31292
RX9070,25384
RX9070XT,26939
RX6900Xt,26708
RX5500XT,8200
RX5600XT,10500
